time	gasTotalMean	gasTotalStd	gasNewCreatorMean	gasNewCreatorStd	gasNewAssetMean	gasNewAssetStd	gasHolderPolicyUpdateMean	gasHolderPolicyUpdateStd	gasCharacteristicUpdateMean	gasCharacteristicUpdateStd	gasTransferMean	gasTransferStd	TotalNumCreators	maxCreators	minCreators	avgCreators	stdCreators	TotalNumAssets	maxAssets	minAssets	avgAssets	stdAssets
5160	6.04664671E7	8.428152522716054E7	0.0	0.0	923307.3	2769921.900000001	4.90949325E7	6.1710105101695105E7	5008204.3	1.227489353215508E7	5440023.0	1.3333262610208388E7	9	2	0	0.9	0.8306623862918074	794	192	0	79.4	77.69453005199271
5220	8.76122484E7	1.3388357895389116E8	0.0	0.0	1025897.0	2427715.400497019	6.8230845E7	9.485875309772407E7	8798442.4	1.9088430252293874E7	9557064.0	2.0734277874082424E7	9	2	0	0.9	0.8306623862918074	804	192	0	80.4	77.54508366105487
5280	8.14019377E7	1.391993351971629E8	0.0	0.0	718127.9	2154383.6999999993	6.502095E7	1.0684999176185918E8	7507761.8	1.7643743105412103E7	8155098.0	1.916502653446731E7	9	2	0	0.9	0.8306623862918074	811	192	0	81.1	77.34397196937846
5340	9.09501512E7	1.488627106174728E8	0.0	0.0	1128486.7	3385460.1	7.1523045E7	1.0417644629238044E8	8771174.5	2.1048010584127378E7	9527445.0	2.286281765340451E7	9	2	0	0.9	0.8306623862918074	822	192	0	82.2	77.142465607472
5400	9.59151193E7	1.285009955519137E8	0.0	0.0	410358.8	940250.1315456225	7.967124E7	1.0101680628842175E8	7589565.5	1.6160624592575315E7	8243955.0	1.7554030189618137E7	9	2	0	0.9	0.8306623862918074	826	192	0	82.6	77.12742702826279
5460	7.28529734E7	1.0929631995724791E8	0.0	0.0	205179.4	615538.2	5.975343E7	8.13029686769307E7	6180724.0	1.591214300846911E7	6713640.0	1.728412396142888E7	9	2	0	0.9	0.8306623862918074	828	192	0	82.8	77.11264487747778
5520	7.14067994E7	1.3379859311375497E8	0.0	0.0	410358.8	940250.1315456225	5.68316025E7	9.964471785525152E7	6789707.1	1.6406831047117285E7	7375131.0	1.782146512142728E7	9	2	0	0.9	0.8306623862918074	832	192	0	83.2	77.22797420624214
5580	8.10596628E7	1.437060517199062E8	0.0	0.0	205179.4	410358.8000000001	6.69551175E7	1.1333984990135367E8	6662456.9	1.5236337496829573E7	7236909.0	1.6550048970349574E7	9	2	0	0.9	0.8306623862918074	834	192	0	83.4	77.35528424096185
5640	8.25387351E7	1.3345997265155578E8	0.0	0.0	205179.4	410358.8	6.8889285E7	1.078026164584238E8	6444313.7	1.3044424906658946E7	6999957.0	1.4169144719994253E7	9	2	0	0.9	0.8306623862918074	836	192	0	83.6	77.36950303575694
5700	6.43997741E7	1.3625509708428615E8	0.0	0.0	205179.4	615538.2	5.25517425E7	1.0643695360704151E8	5580830.2	1.4353855251973914E7	6062022.0	1.5591477110749835E7	9	2	0	0.9	0.8306623862918074	838	192	0	83.8	77.37027853122929
5760	6.71396755E7	9.819644257766157E7	0.0	0.0	205179.4	615538.2	6.0164955E7	8.431318736565976E7	3244880.1	7523618.318398594	3524661.0	8172321.703271904	9	2	0	0.9	0.8306623862918074	840	192	0	84.0	77.37570678190927
